employment_situation;willing2work;Ppl_willing2work;pctg_ppl_willing2work
Estudiante;Sí;76;76,76767677
Estudiante;No;23;23,23232323
Encargado/a del hogar;Sí;3;75
Encargado/a del hogar;No;1;25
Empleado/a;Sí;26;55,31914894
Empleado/a;No;21;44,68085106
Desempleado/a de corta duración;Sí;8;88,88888889
Desempleado/a de corta duración;No;1;11,11111111
Desempleado de larga duración (2 años);Sí;4;66,66666667
Desempleado de larga duración (2 años);No;2;33,33333333
Jubilado/a;Sí;1;16,66666667
Jubilado/a;No;5;83,33333333
