Country Name;Country Code;Series Name;Series Code;2010;2011;2012;2013;2014;2015;2016;2017;201;2019;2020;
Spain;ESP;GNI, PPP (current international $);NY.GNP.MKTP.PP.CD; $1.454.175.402.105,31 ; $1.463.308.449.873,90 ; $1.471.780.320.471,50 ; $1.501.976.882.039,12 ; $1.552.593.080.187,63 ; $1.620.705.839.877,25 ; $1.737.496.965.660,61 ; $1.842.466.936.888,79 ; $1.907.236.173.587,13 ; $1.969.537.647.569,79 ; $1.798.778.437.119,96 ;
Spain;ESP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81,63;82,48;82,43;83,08;83,23;82,83;83,33;83,28;83,43;83,83;82,33;
Spain;ESP;Individuals using the Internet (% of population);IT.NET.USER.ZS;65,80;67,09;69,81;71,64;76,19;78,69;80,56;84,60;86,11;90,72;93,21;
Spain;ESP;Secure Internet servers (per 1 million people);IT.NET.SECR.P6;207,06;265,00;403,63;488,33;625,85;889,57;2762,56;7247,04;11302,76;17694,49;21587,57;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;;;;;;
Last Updated: 05/25/2022;;;;;;;;;;;;;;;
