Years;GNI, PPP (current international $);Life expectancy at birth, total (years);Individuals using the Internet (% of population);Secure Internet servers (per 1 million people)
2010; $1.454.175.402.105,31 ;81,63;65,8;207,06
2011; $1.463.308.449.873,90 ;82,48;67,09;265
2012; $1.471.780.320.471,50 ;82,43;69,81;403,63
2013; $1.501.976.882.039,12 ;83,08;71,64;488,33
2014; $1.552.593.080.187,63 ;83,23;76,19;625,85
2015; $1.620.705.839.877,25 ;82,83;78,69;889,57
2016; $1.737.496.965.660,61 ;83,33;80,56;2762,56
2017; $1.842.466.936.888,79 ;83,28;84,6;7247,04
2018; $1.907.236.173.587,13 ;83,43;86,11;11302,76
2019; $1.969.537.647.569,79 ;83,83;90,72;17694,49
2020; $1.798.778.437.119,96 ;82,33;93,21;21587,57
