Marca temporal;¿Cuál es su edad?;situación laboral;nivel de estudios;ingresos personales brutos anuales;Cuál su situación;ciudad o poblado;CCAA;dispuesto a contratar;capaz de realizar las tareas domésticas;veces ha buscado ayuda;entorno cercano;remunerado;
6/16/2022 10:00:34;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 10:00:51;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 10:02:08;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 10:03:15;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;No;>=7;Sí;Sí;
6/16/2022 10:07:48;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;No;
6/16/2022 10:09:47;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Comunidad Valenciana ;No;Sí;0;Sí;Sí;
6/16/2022 10:10:15;46-55;encargado/a del hogar;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 10:11:27;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/16/2022 10:11:49;18-25;Estudiante;Bachillerato;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;1;Sí;Sí;
6/16/2022 10:18:41;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 10:22:44;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;5;Sí;Sí;
6/16/2022 10:33:24;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 10:34:40;18-25;Empleado/a;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;1;Sí;No;
6/16/2022 10:45:44;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;2;Sí;No;
6/16/2022 10:49:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 10:50:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;1;Sí;Sí;
6/16/2022 10:57:20;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;4;Sí;Sí;
6/16/2022 11:00:02;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:13:12;26-35;Empleado/a;Máster;30.000€-40.000€;Vive solo/a;Ciudad;Andalucía ;Sí;No;4;No;No;
6/16/2022 11:15:03;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Melilla;No;Sí;0;Sí;No;
6/16/2022 11:20:59;18-25;Estudiante;FP básica;0€-1.000€;Vive acompañado/a;Poblado;Cataluña;No;Sí;0;No;Sí;
6/16/2022 11:26:31;18-25;Empleado/a;Máster;10.000€-20.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;0;Sí;Sí;
6/16/2022 11:48:11;36-45;Empleado/a;EGB;10.000€-20.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 11:52:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 11:55:29;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:57:27;18-25;Desempleado/a de corta duración;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:57:33;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 11:57:47;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 12:05:31;36-45;Desempleado/a de corta duración;Grado Universitario u otro grado superior;20.000€-30.000€;Comparte alojamiento;Ciudad;País Vasco;No;Sí;0;Sí;Sí;
6/16/2022 12:05:33;18-25;Estudiante;FP básica;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;4;Sí;Sí;
6/16/2022 12:07:21;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;No;
6/16/2022 12:09:15;36-45;Desempleado de larga duración (2 años);Grado Universitario u otro grado superior;1.000€-10.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 12:19:50;18-25;Estudiante;Sin estudios;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;0;Sí;Sí;
6/16/2022 12:23:42;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 12:23:58;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;No;0;No;No;
6/16/2022 12:27:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;No;No;
6/16/2022 12:28:37;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Comunidad de Madrid ;Sí;Sí;0;Sí;Sí;
6/16/2022 12:42:54;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Comunidad Valenciana;No;Sí;5;Sí;Sí;
6/16/2022 12:45:41;18-25;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;3;Sí;Sí;
6/16/2022 12:47:16;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;1;Sí;Sí;
6/16/2022 12:50:29;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;Sí;Sí;
